time,open,high,low,close,volume
2026-05-26T01:20:00Z,50915.689,50923.189,50890.189,50906.689,731.0
2026-05-26T01:25:00Z,50906.689,50911.689,50903.689,50903.689,512.0
2026-05-26T01:30:00Z,50903.689,50908.189,50887.689,50903.189,892.0
2026-05-26T01:35:00Z,50903.189,50911.189,50899.189,50899.189,543.0
2026-05-26T01:40:00Z,50899.189,50903.189,50887.689,50896.689,822.0
2026-05-26T01:45:00Z,50896.689,50916.689,50895.689,50911.689,709.0
2026-05-26T01:50:00Z,50911.689,50929.689,50911.689,50924.189,357.0
2026-05-26T01:55:00Z,50924.189,50940.189,50924.189,50938.189,305.0
2026-05-26T02:00:00Z,50938.189,50941.689,50931.189,50938.689,282.0
2026-05-26T02:05:00Z,50938.689,50945.689,50935.189,50936.689,287.0
2026-05-26T02:10:00Z,50936.689,50937.189,50924.189,50924.689,328.0
2026-05-26T02:15:00Z,50924.689,50931.189,50922.689,50931.189,269.0
2026-05-26T02:20:00Z,50931.189,50931.189,50908.189,50908.189,413.0
2026-05-26T02:25:00Z,50908.189,50914.689,50901.189,50912.689,398.0
2026-05-26T02:30:00Z,50912.689,50914.689,50903.189,50903.689,309.0
2026-05-26T02:35:00Z,50903.689,50912.189,50898.189,50906.689,259.0
2026-05-26T02:40:00Z,50906.689,50911.689,50893.189,50897.689,321.0
2026-05-26T02:45:00Z,50897.689,50900.689,50896.689,50896.689,212.0
2026-05-26T02:50:00Z,50896.689,50905.189,50894.189,50899.689,198.0
2026-05-26T02:55:00Z,50899.689,50902.689,50893.189,50901.189,233.0
2026-05-26T03:00:00Z,50901.189,50905.189,50900.189,50900.189,164.0
2026-05-26T03:05:00Z,50900.189,50909.189,50898.189,50898.189,221.0
2026-05-26T03:10:00Z,50898.189,50900.189,50891.689,50893.189,234.0
2026-05-26T03:15:00Z,50893.189,50911.189,50892.189,50911.189,159.0
2026-05-26T03:20:00Z,50911.189,50923.189,50911.189,50911.689,214.0
2026-05-26T03:25:00Z,50911.689,50916.689,50909.189,50914.189,193.0
2026-05-26T03:30:00Z,50914.189,50924.189,50914.189,50917.189,237.0
2026-05-26T03:35:00Z,50917.189,50926.189,50917.189,50923.189,139.0
2026-05-26T03:40:00Z,50923.189,50931.689,50923.189,50928.189,222.0
2026-05-26T03:45:00Z,50928.189,50928.189,50919.689,50925.189,223.0
2026-05-26T03:50:00Z,50925.189,50932.189,50919.189,50929.189,207.0
